"","wt_nt.1","wt_nt.2","wt.1","wt.2","ako_nt.1","ako_nt.2","ako.1","ako.2"
"Ifi208",4.68859563086285,5.5536287287774,9.56795836446305,9.2714570317709,5.83380474961244,6.13615053066448,9.52600001117323,9.97456253015556
"Wfdc17",10.350032013993,9.95718211194714,11.2806040883345,11.6175550175073,9.09626041876674,10.8884703006959,11.7086617546448,11.5158604358315
"Cep85l",5.20354351791884,4.99329417325227,6.68011873328168,6.30516883815571,5.32104300483362,5.52104306746138,6.27415951407313,6.11911487289819
"Isg15",5.58123928592856,5.99193276080311,10.2193362886517,10.0307079009525,5.90091590263401,5.35344037010844,10.1571470491327,10.1626627018741
"Mndal",9.42754423294037,9.30919940219443,11.1856672469042,10.5994853117848,9.08798269791817,9.11014434436499,10.6947396668484,10.7039231792214
"Tcp10c",4.20733109179089,4.70356608613966,5.92628476827697,5.53630189632324,3.98695767149541,4.7928366020886,5.00451342993485,5.91477782716318
"Ly6c2",3.97535919166151,5.41570827175499,8.61384656105846,8.36550020560054,5.10867382152794,5.84938785833389,10.6277628944043,9.74764235811791
"Nhsl2",6.84026219446019,7.25215542852038,5.91458014159132,5.57520640785263,6.42936015997347,6.98194104606254,6.47103095594797,6.07042259067101
"Gm14305",7.75352253958386,7.58057439248375,7.13546106964474,7.26388678330577,7.36614953071266,7.56746320689215,6.85864276560043,6.06685764919359
"Rcc1",6.77179029763762,7.00869788570755,5.74532981373096,6.24931296956823,7.44713864297034,6.71200629659081,5.74937318181088,5.70687570735042
"Tdrd7",7.22914425540976,7.66439780465142,8.83496967571725,8.47868570354447,7.28633755100833,7.66244674790848,8.92225261108938,8.93336881086448
"Gm11110",5.07933710637115,4.67365596356384,6.14401914696019,5.85785367489352,5.68447508181295,5.83268125637248,5.76953510636786,5.82424936890335
"Akna",7.48266799564761,7.51643092397189,8.7364391339324,8.81110981368658,7.21165509578844,7.89201807390429,8.40090545210745,9.09749858402395
"Tmem64",8.35272348657687,8.41555588498533,6.61331545445181,6.56745909171992,7.18299200553925,7.66273100437749,5.62679222518253,5.28722616951686
"Rusc2",6.77948030044416,7.6186060774201,7.82893582539637,8.31519981443861,5.88574992288583,7.89225598816488,8.14629732011497,8.84874797818419
"Smpdl3b",6.54295994613534,7.00065263268187,8.28517348779134,8.9039529896122,7.5362080398609,7.00937613245409,9.22529607194736,8.8962588366805
"Tpbgl",5.14083237338574,6.30918179373813,4.35555065361172,4.48891415161424,5.24979223026422,4.8673100689119,4.76604117863395,4.88780170527885
"Rpl5",11.5196576517684,11.2074353839437,10.1406732162336,10.2037311155464,11.3244533982711,11.6429922903516,10.4596347566385,10.5060769000666
"Gm15056",4.13281254829844,3.52931724099722,8.22326875365428,7.26224615963004,3.48098096182856,3.34367761059646,7.5557261375917,6.71236329774728
"Gdap10",5.59511372451345,4.73413908071617,6.85816335126497,6.31113238050902,5.11049858731587,6.00425229138728,6.53467777598557,5.55085766589164
"A630012P03Rik",2.99902104076805,3.33611208460524,4.40846581751162,4.02500148133764,3.13867710901099,2.65454397037808,3.72642957304523,4.10717116218095
"Lrrc8c",8.20190090374125,9.31003656566559,9.91325838915162,10.4176733833562,8.70219447701269,9.56783652904901,10.0248447600308,10.287339134757
"Pds5b",8.36945894777497,8.43651512460964,7.61756236253552,6.98931315052403,8.6273782838789,7.8869910866231,7.55816326158183,6.49107433596775
"Parp11",6.7663424171667,7.09921645729493,8.77940812071848,8.54736513701169,6.74197150900281,7.04398727622999,8.32525375699212,8.71744075069913
"Eogt",7.74637394853853,8.21934064213461,7.2501035572481,7.98114489468089,7.60860216460858,8.28109858308686,6.59652865978522,6.98214650719807
"Slco2b1",6.82591789493126,6.45727840555663,4.39084144685414,3.90419492127376,4.47748292388392,4.81498462231171,3.89960519337864,3.84803648462412
"Vrk3",8.27400992782237,8.34421925072939,9.28535553485573,8.96254770494785,7.92378271857341,8.38500975797541,9.39010565469668,9.30113738719855
"Trim68",6.07336793160244,6.35576055230289,5.92878077018711,5.56558872725347,6.17586438904575,6.38884534215271,5.427304042204,5.06262652900245
"Psip1",8.24634368155829,8.52584766670729,8.59423949878083,8.07848704321158,9.15368357051722,7.79027955819812,7.09274602337094,6.42214008720234
