"ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0031349","positive regulation of defense response","124/2359","370/23210",7.50375469767683e-35,4.51425882612238e-31,2.82062189741094e-31,"Ccl5/Ptgs2/Tarm1/Acod1/Il6/Rasgrp1/Ifi208/C3/Ifi209/Jak2/Nfkbia/Rsad2/Zbp1/Tnf/Irf7/Ifi214/Mef2c/Nupr1/Adora2b/Tnfsf4/Clec4e/Treml4/Tnfaip3/Nod1/Ddx58/Cebpb/Nr1h3/Cd28/Tnip1/Pde5a/Peli1/Ddx60/Il1b/Ifi211/Trem2/Irak3/Havcr2/Irgm1/Pvr/Irgm2/Fcgr1/Trim30a/Slamf6/Irak2/Smpdl3b/Parp9/Tgm2/Ifi203/Nod2/Mndal/Nfkbiz/Lgals9/Ifih1/Napepld/Ulbp1/Ripk2/Dhx58/Irf1/Mmp12/Ifi204/Nectin2/Nlrc4/Tlr5/Tlr1/Hmgb2/Tlr3/Sh2d1b1/H2-T23/Pdcd4/Colec12/Osm/Cd300lf/Il12b/Pla2g4a/Ptpn22/Ptger3/Cadm1/Lta/Il1rl1/Rps19/Ikbke/Cd86/Cxcl1/Zc3hav1/Gprc5b/Polr3g/Ctsc/C1qbp/Trim6/Cd300a/Cebpa/Cd36/Ptprs/Ticam2/Lag3/Vav1/Hmgb3/Ccr2/Stap1/Il17ra/Lrrfip2/Ccl3/Riok3/Ticam1/Tifa/Lpl/Tbk1/Myd88/H2-M3/Cdk19/Matr3/Pycard/Prkce/Trpv4/Dab2ip/Serpine1/Rtn4/Tmem173/Irf4/Sh2d1b2/Arg1/Wdfy1/Lyn/Sfpq",124
"BP","GO:0045088","regulation of innate immune response","104/2359","289/23210",2.13842722997251e-32,6.43238910775731e-29,4.01911770433254e-29,"Acod1/Rasgrp1/Ifi208/Ifi209/Nfkbia/Rsad2/Zbp1/Socs1/Tnf/Irf7/Ifi214/Clec4e/Treml4/Tnfaip3/Ddx58/Nr1h3/Tnip1/Serpinb9/Fgr/Peli1/Ddx60/Ifi211/Trem2/Irak3/Havcr2/Irgm1/Pvr/Irgm2/Parp14/Trim30a/Slamf6/Irak2/Smpdl3b/Pparg/Parp9/Ifi203/Nod2/Mndal/Lgals9/Tap1/Ifih1/Ulbp1/Ripk2/Dhx58/Rnf135/Irf1/Mmp12/Adar/Ifi204/Nectin2/Nlrc4/Tlr5/Tlr1/Hmgb2/Tlr3/Sh2d1b1/H2-T23/Colec12/Cd300lf/Il12b/Ptpn22/Cadm1/Treml2/Rps19/Ikbke/Cd86/Trafd1/Samhd1/Zc3hav1/Polr3g/C1qbp/Trim6/Cd300a/Cd36/Ptprs/Ticam2/Lag3/Vav1/Hmgb3/Lrrfip2/Riok3/Ticam1/Tifa/Tbk1/Myd88/H2-M3/B430306N03Rik/Serpinb1a/Matr3/Pycard/Prkce/Tap2/Dab2ip/Ptpn2/Rtn4/Tmem173/Irf4/Slamf8/Sh2d1b2/Arg1/Wdfy1/Lrp8/Lyn/Sfpq",104
"BP","GO:0009615","response to virus","98/2359","270/23210",6.07551665189172e-31,1.21834360592602e-27,7.61251577680889e-28,"Ccl5/Cxcl9/Lcn2/Ifit1bl1/Cxcl10/Il6/Isg15/Isg20/Gbp4/Ifit1/Oasl1/Ifit1bl2/Rsad2/Ifit3b/Zbp1/Mx1/Il27/Mx2/Tnf/Irf7/Cd40/Ifit2/Tnfsf4/Ifit3/Treml4/Nt5c3/Ddx58/Slfn8/Stat2/Ddx60/Il1b/Zc3h12a/Irak3/Stat1/Oas3/Ivns1abp/Irgm2/Oas1b/Trim30a/Bst2/Parp9/Itgax/Il23r/Lgals9/Fgl2/Ifih1/Dhx58/Irf1/Mmp12/Adar/Bcl3/Oas1c/Ifitm1/Pml/Tlr3/Oas1g/Dicer1/Oasl2/Tagap/Rtp4/Skp2/Il12b/Ptpn22/Trim25/Dtx3l/Trim12a/Oas1a/Bnip3/Ikbke/Cd86/Samhd1/Ifngr2/Zc3hav1/Polr3g/C1qbp/Trim6/Rnf26/Ticam2/Lgals8/Ifnb1/Riok3/Ticam1/Il15/Eif2ak2/Ifnar1/Crcp/Tbk1/Oas2/Myd88/Ifngr1/Pycard/Apobec3/Unc13d/Rps15a/Spn/Tmem173/Htra1/Ifnar2",98
"BP","GO:0001819","positive regulation of cytokine production","132/2359","449/23210",1.78204030523303e-30,2.68018861907048e-27,1.67464892894399e-27,"Ccl5/Ptgs2/Tarm1/Il6/Rasgrp1/Slamf1/C3/Il1f9/Sulf2/Jak2/Rsad2/Il1rn/Malt1/Il27/Il1rl2/Tnf/Irf7/Il12rb2/Cd40/Adora2b/Tnfsf4/Clec4e/Nod1/Ddx58/Cebpb/Cd28/Il1r1/Cd274/Hilpda/Fgr/Peli1/Thbs1/Il1a/Ddx60/Il1b/Ifi211/Trem2/Tnfsf15/Stat1/Havcr2/Traf2/Slamf6/Ddit3/Nod2/Mndal/Il23r/Lgals9/Ccl2/Ifih1/Ulbp1/Pde4b/Ripk2/Dhx58/Mcoln2/Rnf135/Casp4/Irf1/Mmp12/Ifi204/Bcl3/Il4ra/Tlr5/Anxa1/P2ry2/Tlr1/Hmgb2/Tlr3/Src/H2-T23/Osm/Syk/Il12b/Tnfsf9/Ccl4/Ptpn22/Cadm1/Nr4a3/Ccdc88b/Lta/Il1rl1/Zc3hav1/Gprc5b/Polr3g/Lrp1/Atf4/Nlrp1b/C1qbp/Trim6/Il10/Hif1a/Cd36/Stat3/Ticam2/Pf4/Clec4n/Casp1/Ccr2/Scamp5/Il17ra/Lrrfip2/Ccl3/Cd200/Panx1/Hgf/Riok3/Ticam1/Ly9/Il15/Cd276/Eif2ak2/Ifnar1/Gsdmd/Lpl/Tbk1/Traf6/Myd88/Ifngr1/Slc11a1/H2-M3/Arid5a/Pycard/Pik3r1/Trpv4/Hk1/Serpine1/Rtn4/Spn/Tmem173/Irf4/Htr2b/Psen1/Ncl",132
"BP","GO:0051607","defense response to virus","86/2359","227/23210",7.4114067280746e-29,8.91740457521936e-26,5.57181756335882e-26,"Ccl5/Cxcl9/Ifit1bl1/Cxcl10/Il6/Isg15/Isg20/Gbp4/Ifit1/Oasl1/Ifit1bl2/Rsad2/Ifit3b/Zbp1/Mx1/Il27/Mx2/Irf7/Cd40/Ifit2/Ifit3/Treml4/Nt5c3/Ddx58/Slfn8/Stat2/Ddx60/Il1b/Zc3h12a/Stat1/Oas3/Oas1b/Trim30a/Bst2/Parp9/Itgax/Il23r/Fgl2/Ifih1/Dhx58/Irf1/Mmp12/Adar/Oas1c/Ifitm1/Pml/Tlr3/Oas1g/Dicer1/Oasl2/Tagap/Rtp4/Skp2/Il12b/Ptpn22/Trim25/Dtx3l/Trim12a/Oas1a/Bnip3/Cd86/Samhd1/Ifngr2/Zc3hav1/Polr3g/C1qbp/Trim6/Rnf26/Ticam2/Ifnb1/Riok3/Ticam1/Il15/Eif2ak2/Ifnar1/Crcp/Tbk1/Oas2/Ifngr1/Pycard/Apobec3/Unc13d/Spn/Tmem173/Htra1/Ifnar2",86
"BP","GO:0002697","regulation of immune effector process","122/2359","420/23210",1.03066510840119e-27,1.03341354869026e-24,6.45702649491342e-25,"Ccl5/Il6/Rasgrp1/H2-M2/Gbp4/Slamf1/C3/Rsad2/Malt1/H2-T10/Il27/Tnf/H2-Q4/Tnfrsf1b/Cd40/Adora2b/Tnfsf4/Treml4/Tnfaip3/Ddx58/Cd28/Cfh/Il1r1/Serpinb9/Fgr/Ddx60/Il1b/Zc3h12a/Irak3/Stat1/Tfrc/Havcr2/H2-T24/Pvr/Fcgr1/Traf2/Slamf6/Parp9/Nod2/Il23r/Nfkbiz/Lgals9/Fgl2/Tap1/Ccl2/Ulbp1/Ripk2/Dhx58/Irf1/Mmp12/Nectin2/Il4ra/Pml/Anxa1/Gm8909/Dusp22/Tlr3/Sh2d1b1/H2-T23/Hfe/Hmox1/Pnp/Syk/Il12b/Ptpn22/Stxbp1/Cadm1/Cd5l/Dtx3l/Rac2/Nr4a3/Lta/Rps19/Cxcl1/Zc3hav1/Gprc5b/C1qbp/Trim6/Il10/Cd300a/Rnf26/Cd36/Cxcl5/D6Wsu163e/Bcl6/Lag3/Ifnb1/Vav1/H2-Q2/Ccr2/Fcgr2b/Clcf1/Riok3/Ticam1/Il15/Traf6/Rabgef1/Pram1/H2-M3/Arid5a/Rif1/Pycard/H2-Q10/Apobec3/Hk1/Tap2/Parp3/Unc13d/Zbtb7b/Rtn4/Spn/Vsir/Tmem173/Msh2/Htra1/Slamf8/Sh2d1b2/H2-Q1/Aplf/Arg1/Atg5/Lyn",122
"BP","GO:0045089","positive regulation of innate immune response","85/2359","232/23210",2.46771498816001e-27,2.12082476696723e-24,1.3251443943939e-24,"Acod1/Rasgrp1/Ifi208/Ifi209/Nfkbia/Rsad2/Zbp1/Tnf/Irf7/Ifi214/Clec4e/Treml4/Tnfaip3/Ddx58/Nr1h3/Tnip1/Peli1/Ddx60/Ifi211/Irak3/Havcr2/Irgm1/Pvr/Irgm2/Trim30a/Slamf6/Irak2/Smpdl3b/Parp9/Ifi203/Nod2/Mndal/Lgals9/Ifih1/Ulbp1/Ripk2/Dhx58/Irf1/Mmp12/Ifi204/Nectin2/Nlrc4/Tlr5/Tlr1/Hmgb2/Tlr3/Sh2d1b1/H2-T23/Colec12/Cd300lf/Il12b/Ptpn22/Cadm1/Rps19/Ikbke/Cd86/Zc3hav1/Polr3g/C1qbp/Trim6/Cd300a/Cd36/Ptprs/Ticam2/Lag3/Vav1/Hmgb3/Lrrfip2/Riok3/Ticam1/Tifa/Tbk1/Myd88/H2-M3/Matr3/Pycard/Prkce/Dab2ip/Rtn4/Tmem173/Irf4/Sh2d1b2/Wdfy1/Lyn/Sfpq",85
"BP","GO:0002683","negative regulation of immune system process","125/2359","473/23210",2.93781340120225e-24,2.20923567770409e-21,1.38038574417016e-21,"Tarm1/Acod1/Slfn1/Slamf1/Nfkbia/Socs1/Tnf/Tnfsf4/Tnfaip3/Adora2a/Cebpb/Nr1h3/Cd274/Serpinb9/Pde5a/Arg2/Cst7/Peli1/Thbs1/Fas/Zc3h12a/Irak3/Havcr2/Zfp36l1/Cnr2/H4c3/Myc/Parp14/Trim30a/H4c6/Smpdl3b/Pparg/Tapbpl/Dusp1/Nod2/Ccl12/Lgals9/Fgl2/Tap1/Dhx58/Gpr18/Irf1/Runx3/Mmp12/Adar/Il4ra/Hist1h4n/Anxa1/Dusp22/Sh2d1b1/H2-T23/Hfe/Hmox1/Ncapg2/Cd300lf/Bank1/Il12b/H4c4/Ptpn22/C1qc/H4c2/Tmem178/H4c12/Ezr/Il1rl1/H4c1/Rps19/Cd86/Trafd1/Samhd1/Itpkb/Tmem176b/C1qbp/Il10/Cd300a/Rnf26/H4f16/Lmo2/Ptprs/H4c8/Ticam2/Pf4/Bcl6/Id2/Plcl2/Dusp3/Lag3/Ifnb1/Samsn1/Hmgb3/Lrch1/Ccr2/Stap1/Cd200r1/Fcgr2b/Cd200/Zfp36/Riok3/Ptk2b/Cd276/C5ar2/Nme2/Rabgef1/Meis1/H2-M3/Padi2/Pik3r1/Notch1/Tap2/Dab2ip/Parp3/Ptpn2/Zbtb7b/Milr1/Prdm1/Spn/Vsir/Irf4/Htra1/Slamf8/Sh2d1b2/Kitl/Arg1/Gnrh1/Lyn",125
"BP","GO:0050663","cytokine secretion","82/2359","244/23210",1.54560031315586e-23,1.03314794266063e-20,6.45536692196441e-21,"Nos2/Il6/Rasgrp1/Isg15/Slamf1/Gas6/Socs1/Tnf/Tnfrsf1b/Tnfsf4/Clec4e/Tnfaip3/Ddx58/Cd274/Arg2/Fgr/Il1a/Il1b/Tnfsf15/Zc3h12a/Rnf19b/Havcr2/Nod2/Lgals9/Ifih1/Ripk2/Mcoln2/Casp4/Mmp12/Nlrc4/Il4ra/Tlr5/Pml/Anxa1/Tlr1/Src/Lcp2/Osm/Syk/Srgn/Bank1/Ptpn22/Cadm1/Ezr/Il1rl1/Mapkbp1/Lrp1/Nlrp1b/Trim6/Il10/Cd36/Clec4n/Casp1/Scamp5/Ppp1r11/Cd200r1/Il17ra/Lrrfip2/Ccl3/Cd200/Panx1/Cd276/Ifnar1/Gsdmd/C5ar2/Lpl/Syt11/Fn1/Rabgef1/Ifngr1/Arid5a/Serpinb1a/Pycard/Notch1/Trpv4/Hk1/Zbtb7b/Trem1/Htr2b/Atg5/Lyn/Ncl",82
"BP","GO:1903706","regulation of hemopoiesis","111/2359","407/23210",7.41417472174217e-23,4.46036751260009e-20,2.78694925593066e-20,"Ccl5/Il6/Rasgrp1/Isg15/Mmp14/Inhba/Lox/Nfkbia/Gas6/Socs1/Malt1/Il27/Il1rl2/Tnf/Mef2c/Tnfsf4/Cebpb/Cd28/Il15ra/Fas/Il1b/Trem2/Csf1/Zc3h12a/Tmem64/Stat1/Zfp36l1/H4c3/Myc/H4c6/Nfkbiz/Lgals9/Fgl2/Ripk2/Irf1/Runx3/Csf3r/Il4ra/Hist1h4n/Pim1/Anxa1/Kdr/Hmgb2/Tgfbr2/Dicer1/Il2rg/Fancd2/Pnp/Ncapg2/Syk/Il12b/Tnfsf9/H4c4/Dcstamp/C1qc/H4c2/Tmem178/Cd4/H4c12/H4c1/Cxcl1/Itpkb/Hcls1/Tmem176b/Fanca/Zfp36l2/Hif1a/Csf3/H4f16/Lmo2/H4c8/Stat3/Pf4/Bcl6/Id2/Lag3/Ifnb1/Hmgb3/Ccr2/Car2/Ccl3/Ppp2r3c/Eif6/Acvr1b/Zfp36/Ptk2b/Il15/Eif2ak2/Nme2/Zeb1/Prxl2a/Hax1/Traf6/Atp11c/Smap1/Meis1/H2-M3/Pik3r1/Notch1/Ptpn2/Zbtb7b/Prdm1/Cnot4/Nudt21/Vsir/Slamf8/Kitl/Flcn/Lyn/Rassf2/Fshr",111
