"ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0009615","response to virus","116/2780","270/23210",6.57430382001217e-38,3.9965192921854e-34,2.45325337283612e-34,"Cxcl9/Ccl5/Lcn2/Ifit1bl1/Cxcl10/Isg15/Ifit1/Isg20/Zbp1/Oasl1/Il6/Gbp4/Ifit3/Ifit1bl2/Mx1/Mx2/Ifit3b/Rsad2/Il27/Ifit2/Slfn8/Cd40/Zc3h12a/Irf7/Stat2/Fgl2/Ivns1abp/Ddx58/Nt5c3/Irgm2/Oas1b/Oas1g/Stat1/Ddx60/Dhx58/Irak3/Adar/Parp9/Bcl3/Ticam1/Bst2/Oas3/Tlr9/Ifih1/Irf1/C1qbp/Oas1a/Trim6/Lgals9/Treml4/Rtp4/Trim30a/Pml/Tnfsf4/Trim25/Oas2/Oas1c/Il1b/Il23r/Il15/Htra1/Crcp/Samhd1/Dtx3l/Lgals8/Ifngr2/Mmp12/Rnf26/Itgax/Polr3e/Ifitm1/Tlr3/Il12a/Ticam2/Bcl2/Ddx1/Exosc5/Ddx3x/Ifitm6/Tbk1/Dhx9/Uri1/Ikbke/Oasl2/Tnf/Cd86/Trim12a/Riok3/Ptpn22/Il12rb1/Trim44/Polr3g/Ifnar1/Ilf3/Myd88/Dicer1/Mill2/Apobec3/Tmem173/Ddx21/G3bp1/Mul1/Spn/Fmr1/Ifnar2/Polr3h/Il12b/Aicda/Traf3/Cd8a/Abcc9/Bnip3/Tagap/Unc13d/Oas1f/Ilrun",116
"BP","GO:0051607","defense response to virus","101/2780","227/23210",9.70642027183604e-35,2.95026644162457e-31,1.81101367703467e-31,"Cxcl9/Ccl5/Ifit1bl1/Cxcl10/Isg15/Ifit1/Isg20/Zbp1/Oasl1/Il6/Gbp4/Ifit3/Ifit1bl2/Mx1/Mx2/Ifit3b/Rsad2/Il27/Ifit2/Slfn8/Cd40/Zc3h12a/Irf7/Stat2/Fgl2/Ddx58/Nt5c3/Oas1b/Oas1g/Stat1/Ddx60/Dhx58/Adar/Parp9/Ticam1/Bst2/Oas3/Tlr9/Ifih1/Irf1/C1qbp/Oas1a/Trim6/Treml4/Rtp4/Trim30a/Pml/Trim25/Oas2/Oas1c/Il1b/Il23r/Il15/Htra1/Crcp/Samhd1/Dtx3l/Ifngr2/Mmp12/Rnf26/Itgax/Polr3e/Ifitm1/Tlr3/Ticam2/Bcl2/Ddx1/Exosc5/Ifitm6/Tbk1/Dhx9/Oasl2/Cd86/Trim12a/Riok3/Ptpn22/Il12rb1/Trim44/Polr3g/Ifnar1/Ilf3/Dicer1/Mill2/Apobec3/Tmem173/Ddx21/G3bp1/Mul1/Spn/Ifnar2/Polr3h/Il12b/Aicda/Traf3/Cd8a/Abcc9/Bnip3/Tagap/Unc13d/Oas1f/Ilrun",101
"BP","GO:0031349","positive regulation of defense response","134/2780","370/23210",4.42175525451124e-34,8.95995006405795e-31,5.50004293938328e-31,"Ccl5/Ptgs2/Tarm1/Acod1/Rasgrp1/Zbp1/Ifi208/C3/Il6/Rsad2/Cebpb/Ifi209/Cd28/Nupr1/Nfkbia/Jak2/Cd300lf/Nod1/Irf7/Havcr2/Adora2b/Ifi214/Tnfaip3/Ddx58/Fcgr1/Mef2c/Irgm2/Il1rl1/Slamf6/Pde5a/Tnip1/Nectin2/Irgm1/Clec4e/Ddx60/Dhx58/Trem2/Cadm1/Mndal/Irak3/Peli1/Smpdl3b/Parp9/Ticam1/Tlr9/Ifih1/Tlr1/Irf1/Tlr5/C1qbp/Gprc5b/Trim6/Lgals9/Treml4/Nod2/Trim30a/Ifi204/Tgm2/Ifi211/Tifa/Tnfsf4/Napepld/Tlr4/Pdcd4/Il1b/Irak2/Il17ra/H2-T23/Hmgb3/Mmp12/Stap1/Matr3/Osm/S100a8/Tlr3/Ifi203/Fabp4/Il12a/Pvr/Lta/Ticam2/Ctsc/Ulbp1/Hmgb2/Tbk1/Dhx9/Hspd1/Ikbke/Tnf/Cd300a/Cd86/Vav1/Riok3/Rab34/Lpl/Ptpn22/Arg1/Prkdc/Trem3/Ccr2/Lrrfip2/Vamp7/Polr3g/Ptprs/Myd88/H2-M3/Mill2/Cd36/Nlrp6/Tmem173/Xrcc6/Penk/Colec12/Rtn4/Serpine1/Prkce/Gja1/Il12b/Otud4/Hmgb1/Traf3/S100a9/Cckbr/Pik3ap1/Hexim1/Nr1d1/Rps6ka3/Sfpq/Park7/Tnip2/Pde2a/Rps19/Lyn/Lrsam1",134
"BP","GO:0007059","chromosome segregation","121/2780","317/23210",2.03565923704449e-33,3.09369312549836e-30,1.89905578824282e-30,"Plk1/Ect2/Kif23/Nek2/Kif2c/Bub1/Racgap1/Nusap1/Spag5/Bub1b/Nuf2/Ndc80/Stil/Fbxo5/Ttk/Cdc20/Ncapd3/Cenpe/Knstrn/Majin/Cenpn/Top2a/Kif14/Mad2l1/Aurkb/Ccnb1/Sgo1/Smc4/Knl1/Mki67/Ncaph/Kif4/Esco2/Cenpf/Fancd2/Oip5/Smc2/Cenpc1/Gen1/Sgo2a/Ncapd2/Brca2/Cdc6/Cenpk/Kif18b/Birc5/Cenpq/Ndc1/Gem/Cit/Pmf1/Ncapg/Rad18/Rad51c/Rcc1/Usp9x/Mis18a/Mlh1/Dsn1/Fam83d/Eme1/Pttg1/Nde1/Banf1/Cdca2/Nsl1/Tacc3/Cdca5/Trip13/Brip1/Anapc15/Naa10/Xrcc3/Ska2/Rcc2/Ska3/Kif18a/Cenpt/Ddx3x/Fancm/Kif22/Cdca8/Naa50/Spc25/Klhdc8b/Atrx/Mtbp/Pds5b/Brca1/Atm/Nup37/Stag2/Ran/Anapc1/Chmp2a/Mre11a/Chmp4b/Smc3/Terf1/Tpr/Syce2/Cep192/Fen1/Spice1/Pds5a/Tlk2/Phb2/Ccne2/Cenph/Psmg2/Rad21/Rmi1/Ddx11/Anapc11/Cenpx/Ska1/Nup43/Sfpq/Smc1a/Chtf18/Espl1",121
"BP","GO:0048285","organelle fission","151/2780","456/23210",3.77728649148706e-33,4.35642892317669e-30,2.67418299974223e-30,"Ube2c/Met/Plk1/Kif23/Mx1/Nek2/Aspm/Mx2/Kif2c/Kif11/Bub1/Racgap1/Kif20b/Cd28/Nusap1/Spag5/Bub1b/Nuf2/Ndc80/Hspa1a/Mybl1/Stil/Fbxo5/Ttk/Cdc20/Ncapd3/Cenpe/Stat2/Knstrn/Majin/Top2a/Kif14/Mad2l1/Aurkb/Ccnb1/Sgo1/Smc4/Mki67/Ncaph/Kif4/Fancd2/Kdr/Smc2/Cenpc1/Gen1/Sgo2a/Rad51/Aurka/Topbp1/Ncapd2/Brca2/Cdc6/Inf2/Fignl1/Cenpk/Mtfr2/Kif18b/Birc5/Chek1/Edn1/Ndc1/Cit/Ncapg/Il1a/Il1b/Rad51c/Rcc1/Mlh1/Bora/Dsn1/Rad54l/Ddhd2/Lpin1/Mastl/Eme1/Pttg1/Nde1/Nsl1/Tacc3/Cdca5/Trip13/Osm/Brip1/Anapc15/Mybl2/Tpx2/Naa10/Rad1/Xrcc3/Chek2/Kif18a/Kif3b/Fancm/Pex11a/Kif22/Cdca8/Lrp5/Naa50/Tnf/Klhdc8b/Atrx/Tmem135/Pdgfb/Mtbp/Pds5b/Atm/Rps6ka2/Mfn1/Stag2/Ran/Anapc1/Ccsap/Chmp2a/Mre11a/Chmp4b/Smc3/Terf1/Cdc25b/Mul1/Dhodh/Ranbp1/Drg1/Aaas/Tpr/Syce2/Eps8/Misp/Ripor2/Cep192/Spice1/Pds5a/Dnmt3l/Opa1/Phb2/Ccne2/Washc5/Dcn/Psmg2/Rad21/Rmi1/Anapc11/Cenpx/Fanca/Fis1/Bnip3/Mzt1/Smc1a/Chtf18/Clasp2/Kifc5b/Espl1",151
"BP","GO:0045088","regulation of innate immune response","114/2780","289/23210",4.29981469634153e-33,4.35642892317669e-30,2.67418299974223e-30,"Acod1/Rasgrp1/Zbp1/Ifi208/Rsad2/Socs1/Ifi209/Nfkbia/Cd300lf/Irf7/Havcr2/Ifi214/Tnfaip3/Ddx58/Treml2/Irgm2/Parp14/Slamf6/Tnip1/Nectin2/Irgm1/Clec4e/Rnf135/Ddx60/Dhx58/Trem2/Cadm1/Mndal/Irak3/Peli1/Smpdl3b/Adar/Parp9/Ticam1/Tlr9/Ifih1/Tlr1/Irf1/Fgr/Tlr5/C1qbp/Trim6/Lgals9/Treml4/Nod2/Trim30a/Trafd1/Ifi204/Ifi211/Tifa/Tap1/Tlr4/Irak2/Pparg/H2-T23/Serpinb9/Samhd1/Hmgb3/Mmp12/Matr3/Tlr3/Ifi203/Il12a/Pvr/Ticam2/Slamf8/Ulbp1/Hmgb2/Tbk1/Dhx9/Clec2d/B430306N03Rik/Hspd1/Ikbke/Tnf/Cd300a/Cd86/Vav1/Riok3/Ptpn22/A530064D06Rik/Arg1/Prkdc/Trem3/Lrrfip2/Polr3g/Ptprs/Myd88/H2-M3/Mill2/Cd36/Nlrp6/Tmem173/Xrcc6/Mul1/Colec12/Rtn4/Fam3a/Susd4/Prkce/Serpinb1a/Il12b/Otud4/Hmgb1/Traf3/Pik3ap1/Hexim1/Nr1d1/Rps6ka3/Sfpq/Tnip2/Rps19/Lyn/Dnaja3",114
"BP","GO:0140014","mitotic nuclear division","103/2780","257/23210",1.06407139041932e-30,9.24069997479867e-28,5.6723805699797e-28,"Ube2c/Met/Plk1/Kif23/Nek2/Kif2c/Kif11/Bub1/Racgap1/Kif20b/Cd28/Nusap1/Spag5/Bub1b/Nuf2/Ndc80/Hspa1a/Stil/Fbxo5/Ttk/Cdc20/Ncapd3/Cenpe/Knstrn/Kif14/Mad2l1/Aurkb/Ccnb1/Sgo1/Smc4/Mki67/Ncaph/Kif4/Smc2/Cenpc1/Gen1/Aurka/Ncapd2/Cdc6/Cenpk/Kif18b/Birc5/Chek1/Edn1/Cit/Ncapg/Il1a/Il1b/Rcc1/Bora/Dsn1/Pttg1/Nde1/Nsl1/Tacc3/Cdca5/Trip13/Anapc15/Mybl2/Tpx2/Naa10/Xrcc3/Chek2/Kif18a/Kif3b/Kif22/Cdca8/Lrp5/Naa50/Tnf/Klhdc8b/Atrx/Pdgfb/Mtbp/Pds5b/Atm/Stag2/Ran/Anapc1/Ccsap/Chmp2a/Chmp4b/Smc3/Terf1/Ranbp1/Drg1/Aaas/Tpr/Eps8/Misp/Ripor2/Cep192/Spice1/Pds5a/Phb2/Psmg2/Rad21/Anapc11/Mzt1/Smc1a/Clasp2/Kifc5b/Espl1",103
"BP","GO:0000280","nuclear division","134/2780","409/23210",5.24499118759578e-29,3.98553767867434e-26,2.44651233684566e-26,"Ube2c/Met/Plk1/Kif23/Nek2/Aspm/Kif2c/Kif11/Bub1/Racgap1/Kif20b/Cd28/Nusap1/Spag5/Bub1b/Nuf2/Ndc80/Hspa1a/Mybl1/Stil/Fbxo5/Ttk/Cdc20/Ncapd3/Cenpe/Knstrn/Majin/Top2a/Kif14/Mad2l1/Aurkb/Ccnb1/Sgo1/Smc4/Mki67/Ncaph/Kif4/Fancd2/Smc2/Cenpc1/Gen1/Sgo2a/Rad51/Aurka/Topbp1/Ncapd2/Brca2/Cdc6/Fignl1/Cenpk/Kif18b/Birc5/Chek1/Edn1/Ndc1/Cit/Ncapg/Il1a/Il1b/Rad51c/Rcc1/Mlh1/Bora/Dsn1/Rad54l/Mastl/Eme1/Pttg1/Nde1/Nsl1/Tacc3/Cdca5/Trip13/Osm/Brip1/Anapc15/Mybl2/Tpx2/Naa10/Rad1/Xrcc3/Chek2/Kif18a/Kif3b/Fancm/Kif22/Cdca8/Lrp5/Naa50/Tnf/Klhdc8b/Atrx/Pdgfb/Mtbp/Pds5b/Atm/Rps6ka2/Stag2/Ran/Anapc1/Ccsap/Chmp2a/Mre11a/Chmp4b/Smc3/Terf1/Cdc25b/Ranbp1/Drg1/Aaas/Tpr/Syce2/Eps8/Misp/Ripor2/Cep192/Spice1/Pds5a/Dnmt3l/Phb2/Ccne2/Washc5/Psmg2/Rad21/Rmi1/Anapc11/Cenpx/Fanca/Mzt1/Smc1a/Chtf18/Clasp2/Kifc5b/Espl1",134
"BP","GO:0006281","DNA repair","145/2780","464/23210",7.45176880011084e-29,5.03325583731931e-26,3.08965150835005e-26,"Neil3/Rad51ap1/Zranb3/Parp10/Pclaf/Hspa1a/H2afx/Ticrr/Suv39h1/Mcm5/Smc4/Mcm6/Cdc7/Esco2/Parpbp/Nucks1/Fancd2/Parp9/Pnp/Mcm3/Tdp1/Rad51b/Mcm2/Smc2/Etaa1/Gen1/Ddb1/Rad51/Topbp1/Cdc45/Fanci/Brca2/Fignl1/Pml/Ier3/Ube2t/Chek1/Dna2/Pole2/Asf1a/Pola1/Rad18/Rad51c/Polh/Mlh1/Npm1/Pole/Rad54l/Samhd1/Wdhd1/Dtx3l/Ssrp1/Eme1/Pttg1/Dtl/Lig1/Cdca5/Hmgn1/Clspn/Trip13/Supt16/Brip1/Mcm4/Rad1/Rad50/Xrcc3/Rnaseh2a/Chek2/Ddx1/Setx/Fancm/Dhx9/Tdp2/Huwe1/Rif1/Kif22/Pms1/Mdc1/Gins2/Atrx/Usp45/Polq/Jmy/Pnkp/Pold1/Pds5b/Cdk2/Brca1/Uhrf1/Atm/Prkdc/Prpf19/Pold2/Gtf2h2/Rpa2/Fancb/Parp3/Mcm8/Hdac10/Mre11a/Smc3/Rfwd3/Bod1l/Xrcc6/Nsd2/Poli/Exo1/Fbxo6/Pms2/Mms22l/Nsmce4a/Blm/Fh1/Eya1/Uchl5/Fen1/Pds5a/Atr/Fignl2/Polb/Chd1l/Sirt6/Hmgb1/Fam168a/Rad21/Timeless/Rmi1/Usp10/Mcm9/Ddx11/Cenpx/Trp53bp1/Ube2v2/Fanca/Trim28/Sfpq/Park7/Ube2a/Rad9b/Smc1a/Usp3/Cbx8/Aptx/Rpa1/Usp1",145
"BP","GO:0006260","DNA replication","96/2780","243/23210",4.0297056737022e-28,2.44965807904357e-25,1.50371648560782e-25,"Ccna2/Met/Il6/Rrm2/Zranb3/Pclaf/Fbxo5/Ticrr/Cdk1/Mcm5/Mcm6/Sde2/Cdc7/Esco2/Nucks1/Mcm3/Rrm1/Prim1/Dbf4/Mcm2/Etaa1/Gen1/Fgfr1/Rad51/Rbbp7/Cdc45/Brca2/Cdc6/Dna2/Pole2/Pola1/Polh/Npm1/Pole/Samhd1/Wdhd1/Ssrp1/Eme1/Pola2/Dtl/Lig1/Prim2/Gins1/Supt16/Mcm4/Wdr18/Rnaseh2a/Chek2/Fancm/Dhx9/E2f7/Gins2/Tipin/Atrx/Polq/Pold1/Cdk2/Stag2/Pold2/Rpa2/Mcm8/Mre11a/Rfc4/Smc3/Terf1/Rfwd3/Bod1l/Id3/Mcm10/Poli/Mms22l/Blm/E2f8/Fen1/Pds5a/Nfia/Atr/Polb/Aicda/Gtpbp4/Ccne2/Rfc5/Timeless/Rmi1/Mcm9/Ddx11/Cenpx/Thoc1/Stn1/Smc1a/Chtf18/Dnajc2/Rpa1/Gmnn/Nfix/Dnaja3",96
