"ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0070098","chemokine-mediated signaling pathway","3/25","60/23210",3.6273511348155e-05,0.0155413764868674,0.00921823999221053,"Cxcl13/Cxcl11/Cxcr4",3
"BP","GO:0090091","positive regulation of extracellular matrix disassembly","2/25","10/23210",4.98581733691737e-05,0.0155413764868674,0.00921823999221053,"Il6/Fscn1",2
"BP","GO:1990868","response to chemokine","3/25","70/23210",5.76139999513158e-05,0.0155413764868674,0.00921823999221053,"Cxcl13/Cxcl11/Cxcr4",3
"BP","GO:1990869","cellular response to chemokine","3/25","70/23210",5.76139999513158e-05,0.0155413764868674,0.00921823999221053,"Cxcl13/Cxcl11/Cxcr4",3
"BP","GO:0010715","regulation of extracellular matrix disassembly","2/25","15/23210",0.000115952128363381,0.0212066081581153,0.0125785256915605,"Il6/Fscn1",2
"BP","GO:0014015","positive regulation of gliogenesis","3/25","89/23210",0.00011792367835838,0.0212066081581153,0.0125785256915605,"Spint1/Il6/Cxcr4",3
"BP","GO:0042110","T cell activation","5/25","491/23210",0.000155402746445271,0.0217682301877498,0.0129116471919925,"Il6/Il1rl2/Zfp36l2/Cxcr4/Gadd45g",5
"BP","GO:0009611","response to wounding","5/25","495/23210",0.000161395589899906,0.0217682301877498,0.0129116471919925,"Il6/Dcbld2/Zfp36l2/Cxcr4/Plau",5
"BP","GO:0030217","T cell differentiation","4/25","269/23210",0.000184237716775758,0.0220880551556714,0.0131013487484983,"Il6/Il1rl2/Zfp36l2/Gadd45g",4
"BP","GO:0071222","cellular response to lipopolysaccharide","4/25","282/23210",0.000220659326491592,0.0228314777065885,0.0135423037369941,"Nr1h3/Cxcl13/Il6/Cxcl11",4
"BP","GO:0071219","cellular response to molecule of bacterial origin","4/25","290/23210",0.00024550221029367,0.0228314777065885,0.0135423037369941,"Nr1h3/Cxcl13/Il6/Cxcl11",4
"BP","GO:1903055","positive regulation of extracellular matrix organization","2/25","22/23210",0.00025391819506864,0.0228314777065885,0.0135423037369941,"Il6/Fscn1",2
"BP","GO:0030728","ovulation","2/25","24/23210",0.000302982441080064,0.0251475426096453,0.0149160586377878,"Inhba/Plau",2
"BP","GO:0071216","cellular response to biotic stimulus","4/25","313/23210",0.000328142447387279,0.0252904071950625,0.0150007975948471,"Nr1h3/Cxcl13/Il6/Cxcl11",4
"BP","GO:0019221","cytokine-mediated signaling pathway","4/25","341/23210",0.000453703206384109,0.0282911162544806,0.0167806435615084,"Cxcl13/Il6/Cxcl11/Cxcr4",4
"BP","GO:0106106","cold-induced thermogenesis","3/25","142/23210",0.000467195426390525,0.0282911162544806,0.0167806435615084,"Nr1h3/Cxcr4/Gadd45g",3
"BP","GO:0120161","regulation of cold-induced thermogenesis","3/25","142/23210",0.000467195426390525,0.0282911162544806,0.0167806435615084,"Nr1h3/Cxcr4/Gadd45g",3
"BP","GO:0022617","extracellular matrix disassembly","2/25","30/23210",0.000475639148338501,0.0282911162544806,0.0167806435615084,"Il6/Fscn1",2
