"","wt_nt.1","wt_nt.2","wt.1","wt.2","ako_nt.1","ako_nt.2","ako.1","ako.2"
"TC0700003663.mm.2",3.1015135611198,2.86146496898579,3.46933524129759,3.40821451900836,2.86848160618472,2.9512576169081,3.42073950762812,3.42375085114136
"TC0100001634.mm.2",4.68859563086285,5.5536287287774,9.56795836446305,9.2714570317709,5.83380474961244,6.13615053066448,9.52600001117323,9.97456253015556
"TC1100001264.mm.2",10.350032013993,9.95718211194714,11.2806040883345,11.6175550175073,9.09626041876674,10.8884703006959,11.7086617546448,11.5158604358315
"TC0600003488.mm.2",4.44025097059762,4.97913408819319,4.84090200202102,4.41412518927527,5.01870647609146,5.046792583635,4.87338202598319,5.11448458446409
"TC1400001290.mm.2",8.93095776496088,8.70577674053306,8.35957809388723,8.49594238020669,8.87070129304468,8.89613499112918,8.79330831144993,8.41890654329453
"TC0700001070.mm.2",3.42732804898242,4.14060627260487,4.01303463551914,3.6996257098709,3.94813591010626,3.90613395167967,4.07812788523275,4.30429604222674
"TC0800002567.mm.2",4.02134087669976,4.07536632995815,4.39819853954883,4.46271012091753,4.50300878135516,4.17515297881935,3.82558699454521,4.41734665133023
"TC1000000751.mm.2",4.91795616319491,4.49627080448366,4.59806459263281,4.2784041495846,4.0584148719859,4.4439228713556,4.63860600118299,4.75180552472819
"TC1300000684.mm.2",4.29921356094908,4.23026003065202,3.7072124911273,4.46220904976872,4.80525474504126,4.0928868912688,4.67585219252164,4.75999555735527
"TC0400000130.mm.2",3.0469570756651,3.09741870063337,3.47190065610773,2.97005728301545,3.4928325507568,3.11021884403364,3.19984974813195,3.46176989828945
"TC1300000814.mm.2",5.74458137438296,5.93583598417191,6.00576419455639,5.49988051144307,5.83218158185234,5.56583948907932,5.24256592218915,5.16833164725802
"TC0100001603.mm.2",6.91040152858385,5.82085060701493,5.64869831044211,5.36579343281927,5.86987335685653,7.06619659568284,6.04422238118921,5.42323625677738
"TC0700003482.mm.2",4.10793051562987,3.32090470482639,3.53537302736805,3.94562045474579,3.8934687175147,3.18188969563793,3.75186865143144,3.9098733849937
"TC1100001938.mm.2",6.45344473913324,6.68260196346548,6.48993958091092,6.53564551390563,6.85238980088497,6.90000059023465,6.19765525374757,7.09373780350774
