"","PROBEID","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","TC0100000021.mm.2","Rb1cc1","12421","RB1-inducible coiled-coil 1",0.0541983221871805,6.54829067458007,0.192063679972386,0.850813405172907,0.929539619975087,-7.0292346104104
"2","TC0100000023.mm.2","St18","240690","suppression of tumorigenicity 18",-0.494541253353946,8.84091931705171,-1.84760102816329,0.0887371157932014,0.260938562238269,-5.43356822442592
"3","TC0100000027.mm.2","Pcmtd1","319263","protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1",0.503967795673722,8.43739579614606,1.77477352918711,0.100560953684367,0.281044318217054,-5.54517396942023
"4","TC0100000039.mm.2","Adhfe1","76187","alcohol dehydrogenase, iron containing, 1",-2.16320221463195,5.06925282622799,-7.68788688984544,4.72199698449812e-06,0.000227990855332216,4.43770875695589
"5","TC0100000041.mm.2","Vxn","76982","vexin",-0.0237808645887987,3.89758984969591,-0.0853736320417255,0.933332460106054,0.969765516369428,-7.04508580719906
"6","TC0100000044.mm.2","Sgk3","170755","serum/glucocorticoid regulated kinase 3",0.299957059477208,8.96171645847368,1.04477214273312,0.316142359996368,0.545917317815005,-6.48802195288115
"7","TC0100000048.mm.2","Cspp1","211660","centrosome and spindle pole associated protein 1",0.333607286452526,5.22284782717683,1.12591775550603,0.281598915583516,0.512986352773347,-6.40182164227641
"8","TC0100000082.mm.2","Kcnb2","98741","potassium voltage gated channel, Shab-related subfamily, member 2",-0.187711475790318,3.38944708333,-0.606670064480843,0.55505582041119,0.743580108648275,-6.85444921287558
"9","TC0100000092.mm.2","Terf1","21749","telomeric repeat binding factor 1",0.704470784520578,7.47032717037081,2.22686200829249,0.045268104962072,0.171937448461333,-4.81547329584726
"10","TC0100000097.mm.2","Rdh10","98711","retinol dehydrogenase 10 (all-trans)",0.705915605426668,5.10460585765705,2.46642082646987,0.0291787791080932,0.129468554988123,-4.39984159577496
"11","TC0100000103.mm.2","Ly96","17087","lymphocyte antigen 96",-0.688932207150643,11.3828638033259,-2.27955462197683,0.0411305155600784,0.16217220379207,-4.72546394319932
"12","TC0100000127.mm.2","Il17a","16171","interleukin 17A",-0.395369313055035,5.34110696235003,-1.38522087295106,0.190488991108449,0.410038365116744,-6.0926392559408
"13","TC0100000129.mm.2","Paqr8","74229","progestin and adipoQ receptor family member VIII",0.359287197654778,4.45147283805388,1.05758136175929,0.310489472832194,0.54059331595797,-6.47476973420734
"14","TC0100000135.mm.2","Gsta3","14859","glutathione S-transferase, alpha 3",-1.24399256543803,7.96394405229324,-3.54316741016047,0.00387893003184793,0.031889582798296,-2.41701547284373
"15","TC0100000137.mm.2","Khdc1a","368204","KH domain containing 1A",-0.110233572886582,4.1389215869604,-0.32947591899409,0.747315421188844,0.872295184781351,-6.99101373925471
"16","TC0100000159.mm.2","B3gat2","280645","beta-1,3-glucuronyltransferase 2 (glucuronosyltransferase S)",-0.195795587821687,5.46449910366854,-0.702026819892846,0.495677454019015,0.69916047870681,-6.78977044237544
"17","TC0100000164.mm.2","Col9a1","12839","collagen, type IX, alpha 1",0.00722266410829153,5.56243470917598,0.0225476189977512,0.982371252367462,0.993488451471288,-7.04872213559913
"18","TC0100000193.mm.2","Lgsn","266744","lengsin, lens protein with glutamine synthetase domain",-0.0198375693804902,3.30468045568026,-0.0579750754923895,0.954695746622542,0.980104062890679,-7.04719194890021
"19","TC0100000215.mm.2","Rab23","19335","RAB23, member RAS oncogene family",0.295497958690666,4.91680687500646,1.04123922249701,0.317714784881324,0.546966565677692,-6.49165330850604
"20","TC0100000216.mm.2","Dst","13518","dystonin",-2.41600429800288,6.39256368372693,-5.98758998265374,5.61490628160099e-05,0.0014457671123564,1.89980072374299
"21","TC0100000222.mm.2","Imp4","27993","IMP4, U3 small nucleolar ribonucleoprotein",0.309843579464813,8.66241885738116,0.929496876027728,0.370439203957299,0.598111533541557,-6.60109842706834
"22","TC0100000224.mm.2","Ptpn18","19253","protein tyrosine phosphatase, non-receptor type 18",1.00990673026882,8.45068727072453,3.62821895352495,0.00331020711463261,0.0284666075925225,-2.25790296765394
"23","TC0100000230.mm.2","Arhgef4","226970","Rho guanine nucleotide exchange factor (GEF) 4",0.411722166939358,5.44477232962413,1.47392578810977,0.16552327351901,0.377865348751206,-5.97604657588938
"24","TC0100000237.mm.2","Hs6st1","50785","heparan sulfate 6-O-sulfotransferase 1",0.557957644898766,7.31214962451092,1.61361990381403,0.131848981763184,0.330273949836565,-5.78240376560743
"25","TC0100000240.mm.2","Arid5a","214855","AT rich interactive domain 5A (MRF1-like)",-1.1039146932947,6.38775635023758,-2.738132129519,0.0175904914168282,0.0922727690918937,-3.9120383195774
"26","TC0100000242.mm.2","Fer1l5","100534273","fer-1-like 5 (C. elegans)",-0.188454298726186,4.43047834791827,-0.590895558354065,0.565245328048078,0.750902860360314,-6.86429587661736
"27","TC0100000247.mm.2","Cnnm3","94218","cyclin M3",0.679475527308864,5.44468037747043,2.30966540797131,0.0389302459281004,0.156414790075477,-4.67364842784284
"28","TC0100000253.mm.2","Cox5b","12859","cytochrome c oxidase subunit 5B",0.21518513549672,10.1174682743782,0.683604553727362,0.506845263566647,0.707075766651967,-6.80294884779253
"29","TC0100000260.mm.2","Unc50","67387","unc-50 homolog",0.233675877950333,8.43835924769555,0.681767280556379,0.507967156222895,0.707581338729749,-6.80424535489313
"30","TC0100000267.mm.2","Lipt1","623661","lipoyltransferase 1",0.19397995468147,4.85918889634201,0.610475756357754,0.552612735257821,0.741605023948164,-6.85203705638089
"31","TC0100000271.mm.2","Eif5b","226982","eukaryotic translation initiation factor 5B",-0.375623248119434,7.79895194322728,-1.07124919080057,0.304540809361719,0.535824923859633,-6.46048110541564
"32","TC0100000280.mm.2","Pdcl3","68833","phosducin-like 3",0.21731379475295,7.84945649022703,0.679333859119888,0.509455329133642,0.708974528677751,-6.80595756603429
"33","TC0100000282.mm.2","Npas2","18143","neuronal PAS domain protein 2",0.0680708247960631,5.16219612128155,0.168588189631926,0.868849489789741,0.937909988712165,-7.03376465567197
"34","TC0100000292.mm.2","Il1r2","16178","interleukin 1 receptor, type II",-0.625970826632098,4.48659667153888,-1.76102144574384,0.102946214506465,0.285040760417055,-5.5659539381179
"35","TC0100000295.mm.2","Il1r1","16177","interleukin 1 receptor, type I",-2.23904478349598,5.79756548907256,-7.0372342786712,1.16493160953855e-05,0.000444294405216864,3.51357897983549
"36","TC0100000297.mm.2","Il1rl2","107527","interleukin 1 receptor-like 2",-3.534200135668,5.3756721371059,-8.94054910147554,9.53862790046905e-07,8.06411500418821e-05,6.0657675210231
"37","TC0100000298.mm.2","Il1rl1","17082","interleukin 1 receptor-like 1",1.45174948150918,4.43673835388935,3.82379683479199,0.00230348646327959,0.0216578963577122,-1.89282346158066
"38","TC0100000300.mm.2","Il18rap","16174","interleukin 18 receptor accessory protein",0.276802217669684,4.75724365877137,0.875405580052312,0.398055038473758,0.621463275671941,-6.65020893548303
