"","PROBEID","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","TC0100000021.mm.2","Rb1cc1","12421","RB1-inducible coiled-coil 1",0.479687782594771,6.54829067458007,1.69987920372814,0.1141732525102,0.275060439970056,-5.60899901140971
"2","TC0100000023.mm.2","St18","240690","suppression of tumorigenicity 18",-0.209510111340236,8.84091931705171,-0.782727617762117,0.448532387978436,0.6393650521345,-6.67915891337905
"3","TC0100000027.mm.2","Pcmtd1","319263","protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1",0.665465255617578,8.43739579614606,2.34350315715103,0.036591670765863,0.13384384862602,-4.56801543691935
"4","TC0100000039.mm.2","Adhfe1","76187","alcohol dehydrogenase, iron containing, 1",-1.28502580453358,5.06925282622799,-4.5669022382485,0.000601115266205337,0.00845813366942183,-0.48824212372324
"5","TC0100000041.mm.2","Vxn","76982","vexin",0.378345976536277,3.89758984969591,1.35826727681254,0.198667655626896,0.38707189674186,-6.0784341963067
"6","TC0100000044.mm.2","Sgk3","170755","serum/glucocorticoid regulated kinase 3",0.595802795264799,8.96171645847368,2.07522424756429,0.059476625714145,0.181928965686747,-5.0217503670014
"7","TC0100000048.mm.2","Cspp1","211660","centrosome and spindle pole associated protein 1",0.753844288241196,5.22284782717683,2.54420902505781,0.0252604311228325,0.105329664505193,-4.21502673392889
"8","TC0100000082.mm.2","Kcnb2","98741","potassium voltage gated channel, Shab-related subfamily, member 2",-0.306173149561521,3.38944708333,-0.989529721636612,0.341390682211885,0.543174429389994,-6.49466408016965
"9","TC0100000092.mm.2","Terf1","21749","telomeric repeat binding factor 1",0.917233591535713,7.47032717037081,2.89941425904637,0.0129960819124171,0.0683844662870703,-3.57074170767519
"10","TC0100000097.mm.2","Rdh10","98711","retinol dehydrogenase 10 (all-trans)",0.406118923515604,5.10460585765705,1.41895173202325,0.180648696799034,0.364205291936844,-6.0003902765735
"11","TC0100000103.mm.2","Ly96","17087","lymphocyte antigen 96",-0.609003024290457,11.3828638033259,-2.01508311617607,0.0661895506263793,0.195201450902505,-5.11999003363205
"12","TC0100000127.mm.2","Il17a","16171","interleukin 17A",-0.0138989224990151,5.34110696235003,-0.0486964388014728,0.961939695791326,0.980478097071143,-6.99836718012231
"13","TC0100000129.mm.2","Paqr8","74229","progestin and adipoQ receptor family member VIII",0.000945987032950235,4.45147283805388,0.00278456416216488,0.997822705520355,0.999300231737808,-6.9996340995213
"14","TC0100000135.mm.2","Gsta3","14859","glutathione S-transferase, alpha 3",-0.406237052629086,7.96394405229324,-1.15705344683326,0.269134819719065,0.468814001725603,-6.31855104808043
"15","TC0100000137.mm.2","Khdc1a","368204","KH domain containing 1A",-0.11975701496918,4.1389215869604,-0.357940430757484,0.726429517348084,0.850407045176127,-6.93131322445622
"16","TC0100000159.mm.2","B3gat2","280645","beta-1,3-glucuronyltransferase 2 (glucuronosyltransferase S)",-0.456515317974212,5.46449910366854,-1.63683972900185,0.126869689374025,0.293909030485067,-5.70084990311892
"17","TC0100000164.mm.2","Col9a1","12839","collagen, type IX, alpha 1",0.200810602603494,5.56243470917598,0.626887930869518,0.542145244375299,0.718305276764713,-6.79227835738093
"18","TC0100000193.mm.2","Lgsn","266744","lengsin, lens protein with glutamine synthetase domain",-0.169911869275967,3.30468045568026,-0.496565544870385,0.628213917083777,0.781607823008942,-6.86876879356014
"19","TC0100000215.mm.2","Rab23","19335","RAB23, member RAS oncogene family",0.491243977960763,4.91680687500646,1.73098487696715,0.108332488055996,0.266279653910841,-5.56288646891596
"20","TC0100000216.mm.2","Dst","13518","dystonin",-2.29184296981862,6.39256368372693,-5.67988062738331,9.16255417963163e-05,0.00219673676450034,1.43335085440469
"21","TC0100000222.mm.2","Imp4","27993","IMP4, U3 small nucleolar ribonucleoprotein",1.12498518389769,8.66241885738116,3.37483260365295,0.00531533850301371,0.0379747247275169,-2.68742627212865
"22","TC0100000224.mm.2","Ptpn18","19253","protein tyrosine phosphatase, non-receptor type 18",0.568187354001555,8.45068727072453,2.04128566050144,0.0631827408045102,0.188934970745305,-5.07736231874453
"23","TC0100000230.mm.2","Arhgef4","226970","Rho guanine nucleotide exchange factor (GEF) 4",0.74803601549339,5.44477232962413,2.67789704369495,0.0196891502553437,0.0900976226163561,-3.97498123997114
"24","TC0100000237.mm.2","Hs6st1","50785","heparan sulfate 6-O-sulfotransferase 1",1.06381716432016,7.31214962451092,3.07657143164956,0.00931211272210772,0.0544529207291271,-3.24329075102313
"25","TC0100000240.mm.2","Arid5a","214855","AT rich interactive domain 5A (MRF1-like)",-1.3854897295292,6.38775635023758,-3.43654628984068,0.00473476485824426,0.0351898824079766,-2.57209228319388
"26","TC0100000242.mm.2","Fer1l5","100534273","fer-1-like 5 (C. elegans)",0.0366501498595868,4.43047834791827,0.114915981813216,0.910358511842632,0.956232222126043,-6.99256293647334
"27","TC0100000247.mm.2","Cnnm3","94218","cyclin M3",0.192577087698163,5.44468037747043,0.654605824562861,0.52472267716972,0.70479432806657,-6.77385482494603
"28","TC0100000253.mm.2","Cox5b","12859","cytochrome c oxidase subunit 5B",0.137591857601491,10.1174682743782,0.437104636410258,0.669578947989375,0.81156924126898,-6.89800739747126
"29","TC0100000260.mm.2","Unc50","67387","unc-50 homolog",-0.276051948259729,8.43835924769555,-0.80540271297206,0.435816196384341,0.62757019021699,-6.66079989653146
"30","TC0100000267.mm.2","Lipt1","623661","lipoyltransferase 1",0.72219807726691,4.85918889634201,2.27283493381364,0.0416374440380724,0.146315160985883,-4.68976712582932
"31","TC0100000271.mm.2","Eif5b","226982","eukaryotic translation initiation factor 5B",0.317114693987188,7.79895194322728,0.904387204534074,0.383088734844606,0.581883711949515,-6.57519841888491
"32","TC0100000280.mm.2","Pdcl3","68833","phosducin-like 3",0.137849080458348,7.84945649022703,0.430923163024957,0.673947836341277,0.814626994988794,-6.90084021179333
"33","TC0100000282.mm.2","Npas2","18143","neuronal PAS domain protein 2",0.562415729228029,5.16219612128155,1.39291171945014,0.188207057419724,0.374311036565988,-6.03418293958298
"34","TC0100000292.mm.2","Il1r2","16178","interleukin 1 receptor, type II",-0.322548571938448,4.48659667153888,-0.907414416633024,0.381548088364717,0.580380404553772,-6.57244289565667
"35","TC0100000295.mm.2","Il1r1","16177","interleukin 1 receptor, type I",-2.23578130569033,5.79756548907256,-7.02697728959671,1.18213665818268e-05,0.000534463860374559,3.52806831111165
"36","TC0100000297.mm.2","Il1rl2","107527","interleukin 1 receptor-like 2",-1.40338859402078,5.3756721371059,-3.55018509185871,0.00382844911899957,0.0302961125680582,-2.3597069176241
"37","TC0100000298.mm.2","Il1rl1","17082","interleukin 1 receptor-like 1",2.42677825547144,4.43673835388935,6.39194787406924,3.00993362928443e-05,0.00100879538406442,2.57275566202366
"38","TC0100000300.mm.2","Il18rap","16174","interleukin 18 receptor accessory protein",0.547619662955764,4.75724365877137,1.73188391600934,0.10816769404406,0.266041099066377,-5.56154612378179
"39","TC0100000304.mm.2","Tmem182","381339","transmembrane protein 182",-0.402636963843156,5.46118806501434,-1.43019459613882,0.177464529556376,0.360397370747674,-5.98566135777739
"40","TC0100000317.mm.2","Gpr45","93690","G protein-coupled receptor 45",0.185245410996033,5.37985079316293,0.494564261527213,0.629586029420387,0.782834773751409,-6.8698112038375
"41","TC0100000323.mm.2","Nck2","17974","non-catalytic region of tyrosine kinase adaptor protein 2",-0.935243580836936,7.18710615617945,-3.10661638282351,0.00880010570231734,0.0526397832252414,-3.18749706391675
"42","TC0100000329.mm.2","Ecrg4","78896","ECRG4 augurin precursor",-0.3253621330865,3.95897247211823,-1.15724508724345,0.269059441388535,0.468767309698845,-6.31833673503956
"43","TC0100000333.mm.2","Bivm","246229","basic, immunoglobulin-like variable motif containing",1.09789939505416,6.75929251299043,3.52024190743956,0.00404861161610142,0.0314434317170523,-2.41566093377382
"44","TC0100000334.mm.2","Ercc5","22592","excision repair cross-complementing rodent repair deficiency, complementation group 5",0.0311320297754607,7.15125534953354,0.0956011042878016,0.925370764880136,0.962475620834599,-6.99474065937666
"45","TC0100000338.mm.2","Gulp1","70676","GULP, engulfment adaptor PTB domain containing 1",-0.724432798260117,4.43573708132147,-2.23908869657694,0.044274258260543,0.151897987843493,-4.7473794269682
"46","TC0100000343.mm.2","Col3a1","12825","collagen, type III, alpha 1",-0.0888651114119625,3.87618475507014,-0.321460781686641,0.753235289730198,0.866882815009967,-6.94447496719538
"47","TC0100000351.mm.2","Wdr75","73674","WD repeat domain 75",0.714607107950544,6.62242634326897,2.07496695355214,0.0595039447142829,0.181937166704762,-5.02217362940207
"48","TC0100000353.mm.2","Dnah7b","227058","dynein, axonemal, heavy chain 7B",-0.262717969096468,4.1797559762098,-0.785377470234489,0.447034211458555,0.638365439253436,-6.6770378756217
"49","TC0100000374.mm.2","Stat4","20849","signal transducer and activator of transcription 4",1.16496541092116,5.73105780303013,2.278349255877,0.0412210134072304,0.145203882297345,-4.68031968270761
"50","TC0100000375.mm.2","Stat1","20846","signal transducer and activator of transcription 1",-1.94538096532677,10.7558832839986,-5.77585820190554,7.85350520992718e-05,0.00198687806370851,1.59115435371326
"51","TC0100000380.mm.2","Nemp2","227094","nuclear envelope integral membrane protein 2",1.15459477281321,4.76802927725414,3.63700456700888,0.00325652513744466,0.0273715389555726,-2.1975545357773
"52","TC0100000381.mm.2","Hibch","227095","3-hydroxyisobutyryl-Coenzyme A hydrolase",0.135345130524366,4.50617501658482,0.335459836664456,0.742906669786423,0.86144566978892,-6.93958819943058
"53","TC0100000387.mm.2","Osgepl1","72085","O-sialoglycoprotein endopeptidase-like 1",-0.435548769339461,6.31264189417224,-1.24232767165456,0.237182793589295,0.433240806799315,-6.22041871438852
"54","TC0100000393.mm.2","Coq10b","67876","coenzyme Q10B",-0.392402205803986,6.3454543319955,-1.19131373829984,0.255916878011623,0.45349811832802,-6.2797876442403
"55","TC0100000395.mm.2","Hspe1","15528","heat shock protein 1 (chaperonin 10)",0.634992228803696,8.69373039749816,2.36131582146472,0.0354151957528815,0.131091357311604,-4.53710192789201
"56","TC0100000399.mm.2","Mars2","212679","methionine-tRNA synthetase 2 (mitochondrial)",0.853940541717138,5.49078852907021,2.82638728325697,0.0149072695784668,0.0750542182995263,-3.70475977916169
"57","TC0100000404.mm.2","Plcl1","227120","phospholipase C-like 1",0.605178272281761,4.19288909400413,1.73615809666353,0.107387282555112,0.264878186608708,-5.55516814451222
"58","TC0100000422.mm.2","Maip1","68115","matrix AAA peptidase interacting protein 1",-0.444488652392601,7.31897976153747,-1.30269530592426,0.216440608373688,0.409051783150347,-6.14768546410167
"59","TC0100000424.mm.2","Spats2l","67198","spermatogenesis associated, serine-rich 2-like",0.955384714346678,4.59218924059233,3.03434144803013,0.0100825315300386,0.0573037996483144,-3.32160032547457
"60","TC0100000426.mm.2","Sgo2a","68549","shugoshin 2A",1.64780859781721,5.80798627210952,4.84175839405587,0.000371891298034569,0.00591156375284287,0.00117925020389009
"61","TC0100000427.mm.2","Aox1","11761","aldehyde oxidase 1",-0.685042927767974,5.49376075814959,-2.328384780759,0.0376194397969754,0.136206001691761,-4.59418369391556
"62","TC0100000434.mm.2","Nif3l1","65102","Ngg1 interacting factor 3-like 1 (S. pombe)",0.0703498934971645,7.44137271021923,0.227298628329282,0.823909851324567,0.906372309877221,-6.97200075579024
"63","TC0100000436.mm.2","Ndufb3","66495","NADH:ubiquinone oxidoreductase subunit B3",-0.253697321416118,7.48681149462392,-0.783380107964576,0.448163184928254,0.63917437792829,-6.67863723830881
"64","TC0100000439.mm.2","Cflar","12633","CASP8 and FADD-like apoptosis regulator",-1.20179946164303,9.66068591721529,-3.21634947431275,0.00715844053974418,0.0466423676982232,-2.98325921296799
"65","TC0100000447.mm.2","Cdk15","271697","cyclin-dependent kinase 15",0.746133875109316,4.41435015951511,2.14122185534333,0.0528432597622874,0.16881114184243,-4.91237215442929
"66","TC0100000450.mm.2","Fzd7","14369","frizzled class receptor 7",-0.488395481156431,8.03960676238653,-1.17257848177431,0.26308103802229,0.461686412837497,-6.30109720860042
"67","TC0100000456.mm.2","Nop58","55989","NOP58 ribonucleoprotein",1.98008586087334,6.38215212361073,3.1066943284606,0.00879881474571553,0.0526397832252414,-3.18735223846589
"68","TC0100000462.mm.2","Bmpr2","12168","bone morphogenetic protein receptor, type II (serine/threonine kinase)",0.269963749485745,9.57824139752899,0.898015266823516,0.386345612842797,0.585209401869914,-6.58097214435726
"69","TC0100000464.mm.2","Fam117b","72750","family with sequence similarity 117, member B",0.574353510969672,9.63081120643992,1.60658725240342,0.133390303710196,0.303554201691328,-5.74414138584788
"70","TC0100000465.mm.2","Carf","241066","calcium response factor",0.204158189360228,5.27254405196577,0.658392216660445,0.522367919276353,0.702747983166504,-6.77128033352457
"71","TC0100000467.mm.2","Nbeal1","269198","neurobeachin like 1",1.4616622412678,5.67684353685433,3.37004641091907,0.0053632713304018,0.0382057222724428,-2.69636923038317
"72","TC0100000469.mm.2","Cyp20a1","77951","cytochrome P450, family 20, subfamily a, polypeptide 1",1.61739673844096,7.74098979234793,3.55607200034958,0.00378661823743555,0.0301078783316471,-2.34870755786763
"73","TC0100000471.mm.2","Abi2","329165","abl-interactor 2",1.70935097690571,7.16119279082843,6.02440527782215,5.30007800426115e-05,0.0015103733526188,1.9936984377312
"74","TC0100000476.mm.2","Cd28","12487","CD28 antigen",2.91192879112946,8.58664761201516,7.82861185820691,3.91069154547182e-06,0.000275195719520435,4.65516531775199
"75","TC0100000509.mm.2","Nrp2","18187","neuropilin 2",-0.529312399383887,10.4433992580506,-1.90423013092463,0.0804289053540966,0.220170330495766,-5.29718878874639
"76","TC0100000519.mm.2","Eef1b2","55949","eukaryotic translation elongation factor 1 beta 2",0.803295535733888,11.5595847537358,2.88264697495017,0.0134122120886419,0.0699524098496919,-3.60156992338612
"77","TC0100000526.mm.2","Fastkd2","75619","FAST kinase domains 2",0.983583448009028,6.23031616596113,2.82224361032105,0.0150236865413133,0.0752668147958633,-3.71234400045383
"78","TC0100000541.mm.2","Ccnyl1","227210","cyclin Y-like 1",-0.54998704513405,7.67700208142616,-1.59438793891344,0.136101170422151,0.307329780062599,-5.76145014473478
"79","TC0100000545.mm.2","Pikfyve","18711","phosphoinositide kinase, FYVE type zinc finger containing",0.356278235882639,8.51318655390836,1.28349885423157,0.222871747636601,0.41685727871927,-6.17110009680476
"80","TC0100000548.mm.2","Crygf","12969","crystallin, gamma F",0.165683940075838,4.61276101706682,0.441913885769543,0.666188579973323,0.809593093415113,-6.89577639345379
"81","TC0100000588.mm.2","Vwc2l","320460","von Willebrand factor C domain-containing protein 2-like",0.135893064904918,3.40340913179202,0.432217425358775,0.673032056963952,0.814094927770685,-6.90025032252943
"82","TC0100000590.mm.2","Atic","108147","5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase",1.57042784699901,8.26917158069939,4.16906421958538,0.00122473089765056,0.0141513609984795,-1.21117281585024
"83","TC0100000591.mm.2","Apol7d","100042814","apolipoprotein L 7d",-0.200120633341764,4.01249909721812,-0.688127261316103,0.504089818694226,0.687549235097194,-6.75058306321738
"84","TC0100000601.mm.2","Tmem169","271711","transmembrane protein 169",0.464838905143504,3.85376800537505,1.46832635672259,0.167013356789905,0.348273485022319,-5.93509321501356
"85","TC0100000602.mm.2","Xrcc5","22596","X-ray repair complementing defective repair in Chinese hamster cells 5",-0.143200924964014,3.82527324627091,-0.478417530779751,0.640708821504609,0.791138144372475,-6.87807341987551
"86","TC0100000608.mm.2","Smarcal1","54380","SWI/SNF related matrix associated, actin dependent regulator of chromatin, subfamily a-like 1",-0.398381462990625,7.22517743128074,-1.27907451948013,0.224375591068692,0.418435730035272,-6.17645908799784
"87","TC0100000609.mm.2","Rpl37a","19981","ribosomal protein L37a",0.593545309618323,9.98700524285193,2.18398708353935,0.0489224886635652,0.161562059730426,-4.84066954795622
"88","TC0100000621.mm.2","Rufy4","435626","RUN and FYVE domain containing 4",0.191047710427993,5.70524416632604,0.573918685144,0.576323551623144,0.744152021282524,-6.82539890737648
"89","TC0100000626.mm.2","Gpbar1","227289","G protein-coupled bile acid receptor 1",0.278984187218197,5.69930868330206,1.01591610584419,0.329154379926479,0.53007780302851,-6.46845005757867
"90","TC0100000631.mm.2","Catip","241112","ciliogenesis associated TTC17 interacting protein",-0.0205161577200856,4.99664244183392,-0.065146598945882,0.949099696958833,0.973250038822051,-6.99736353886431
"91","TC0100000632.mm.2","Slc11a1","18173","solute carrier family 11 (proton-coupled divalent metal ion transporters), member 1",-0.577869736692705,12.1773224446625,-1.96984003815709,0.0716947283000337,0.206114988248977,-5.19293960487516
"92","TC0100000638.mm.2","Bcs1l","66821","BCS1-like (yeast)",1.03229289602812,7.32330598516877,3.45845708710722,0.00454446674281565,0.0341508260043443,-2.53113863675687
"93","TC0100000639.mm.2","Stk36","269209","serine/threonine kinase 36",-0.376268390406547,5.41920803494446,-1.14958053842665,0.272086880311495,0.472091910511393,-6.32688581681947
"94","TC0100000640.mm.2","Ttll4","67534","tubulin tyrosine ligase-like family, member 4",0.658745487687428,5.40737029011239,2.3339541718038,0.0372376552606458,0.135184301968548,-4.58455118143011
"95","TC0100000642.mm.2","Cyp27a1","104086","cytochrome P450, family 27, subfamily a, polypeptide 1",1.86997786312236,5.60119051723366,5.3909034816029,0.000146890759507681,0.00299238304258118,0.950370846107282
"96","TC0100000653.mm.2","Zfand2b","68818","zinc finger, AN1 type domain 2B",-0.661630700487942,8.4551598983756,-2.44137436467578,0.0305610820090431,0.119063816045216,-4.39712084314637
"97","TC0100000656.mm.2","Dnajb2","56812","DnaJ heat shock protein family (Hsp40) member B2",-0.624966676684692,5.56294552545035,-1.5157056215028,0.154756839353148,0.333973225959942,-5.87097186662383
"98","TC0100000659.mm.2","Gmppa","69080","GDP-mannose pyrophosphorylase A",0.229019571350472,9.20852471917574,0.738599357735882,0.473950102554919,0.660684298352872,-6.71352241921932
"99","TC0100000662.mm.2","Inha","16322","inhibin alpha",-0.0215873269581595,5.39969292522454,-0.0596210210792477,0.953411156469851,0.975921317968585,-6.99773299299753
"100","TC0100000678.mm.2","Sgpp2","433323","sphingosine-1-phosphate phosphotase 2",-0.0962543421682547,4.12915665239135,-0.327403476945022,0.748844508719722,0.86428072138357,-6.94242549883206
"101","TC0100000703.mm.2","Rhbdd1","76867","rhomboid domain containing 1",-0.160302350671859,9.32533081305424,-0.534543538907836,0.60245388291315,0.762883462294497,-6.84822303803777
"102","TC0100000718.mm.2","Ccl20","20297","chemokine (C-C motif) ligand 20",0.470246478589311,4.77939611759136,1.5884178888503,0.137445143759099,0.309132018510161,-5.76988913447956
"103","TC0100000725.mm.2","Fbxo36","66153","F-box protein 36",-0.393864260037858,7.31630594385863,-1.11014215852612,0.288080137982053,0.488724581911025,-6.37014788361563
"104","TC0100000743.mm.2","Gm7609","665378","predicted pseudogene 7609",-1.57211378676364,7.46111779753323,-4.2686601144671,0.00102307532971015,0.0125959941989193,-1.02875383748105
"105","TC0100000765.mm.2","Sp140","434484","Sp140 nuclear body protein",-1.89649407804365,8.55851376532293,-5.63096491423728,9.91643721796449e-05,0.00232423550449436,1.35242207859335
"106","TC0100000766.mm.2","Sp100","20684","nuclear antigen Sp100",-0.817165680473256,11.2212589011257,-2.84876739217939,0.01429374474942,0.0730529171198315,-3.6637583965707
"107","TC0100000777.mm.2","Spata3","70060","spermatogenesis associated 3",0.080366568581324,4.24902314282095,0.250603880159639,0.806239990747501,0.896480837827362,-6.96605799312863
"108","TC0100000778.mm.2","2810459M11Rik","72792","RIKEN cDNA 2810459M11 gene",-0.0427521038446423,5.19722820066802,-0.132175544914144,0.896973951623805,0.950162267791875,-6.9902796338041
"109","TC0100000783.mm.2","B3gnt7","227327","UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 7",0.351271820117439,6.0368719368499,1.26682648690019,0.228581285507216,0.423399149437778,-6.19122067639925
