"","PROBEID","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","TC0100000021.mm.2","Rb1cc1","12421","RB1-inducible coiled-coil 1",0.55830543451181,6.54829067458007,1.97847815160381,0.070612089975293,0.786941984329784,-4.23463028398876
"2","TC0100000023.mm.2","St18","240690","suppression of tumorigenicity 18",0.139328937616186,8.84091931705171,0.520531475679187,0.611895839744572,0.969868153885759,-5.79178498274803
"3","TC0100000027.mm.2","Pcmtd1","319263","protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1",0.174691402385703,8.43739579614606,0.615193429802892,0.549592458219669,0.967489298379423,-5.73921275591847
"4","TC0100000039.mm.2","Adhfe1","76187","alcohol dehydrogenase, iron containing, 1",0.482307988364246,5.06925282622799,1.71409276281833,0.111470576042771,0.806611265302363,-4.61172646777059
"5","TC0100000041.mm.2","Vxn","76982","vexin",0.366887700999661,3.89758984969591,1.31713190951574,0.211703709541252,0.859521508878811,-5.11415438886784
"6","TC0100000044.mm.2","Sgk3","170755","serum/glucocorticoid regulated kinase 3",0.226644419713262,8.96171645847368,0.789418913610603,0.444755431408574,0.942556586171991,-5.62129888563316
"7","TC0100000048.mm.2","Cspp1","211660","centrosome and spindle pole associated protein 1",0.415595992551335,5.22284782717683,1.40262795847922,0.185356644990087,0.847784683743785,-5.0135309079356
"8","TC0100000082.mm.2","Kcnb2","98741","potassium voltage gated channel, Shab-related subfamily, member 2",-0.344716953997937,3.38944708333,-1.11410054089168,0.286443331618079,0.895002270463113,-5.33382857554679
"9","TC0100000092.mm.2","Terf1","21749","telomeric repeat binding factor 1",0.0382967735893134,7.47032717037081,0.121057724493513,0.905592164432881,0.997250460822912,-5.91907330747875
"10","TC0100000097.mm.2","Rdh10","98711","retinol dehydrogenase 10 (all-trans)",0.62292506141163,5.10460585765705,2.17645754391142,0.049592327467198,0.753948510658959,-3.9355541564016
"11","TC0100000103.mm.2","Ly96","17087","lymphocyte antigen 96",0.0755248692931012,11.3828638033259,0.249898412477092,0.80677329491357,0.993600532324077,-5.89512377449725
"12","TC0100000127.mm.2","Il17a","16171","interleukin 17A",-0.021453816005506,5.34110696235003,-0.0751658582342774,0.941286313294712,0.998911055278819,-5.92359680044152
"13","TC0100000129.mm.2","Paqr8","74229","progestin and adipoQ receptor family member VIII",-0.149143235413058,4.45147283805388,-0.43901120617408,0.668233964652015,0.977005256127747,-5.83033784956995
"14","TC0100000135.mm.2","Gsta3","14859","glutathione S-transferase, alpha 3",-0.0153973009282762,7.96394405229324,-0.0438549364113699,0.965720965326301,0.998911055278819,-5.92546983144661
"15","TC0100000137.mm.2","Khdc1a","368204","KH domain containing 1A",-0.23981949121003,4.1389215869604,-0.716793851365199,0.4868330952252,0.949562412303366,-5.67370869844469
"16","TC0100000159.mm.2","B3gat2","280645","beta-1,3-glucuronyltransferase 2 (glucuronosyltransferase S)",-0.082725082973762,5.46449910366854,-0.296611520063117,0.771691078895972,0.989749212504873,-5.88237157814714
"17","TC0100000164.mm.2","Col9a1","12839","collagen, type IX, alpha 1",0.350321044434593,5.56243470917598,1.0936276861799,0.294985485972318,0.899497371562718,-5.3543712115703
"18","TC0100000193.mm.2","Lgsn","266744","lengsin, lens protein with glutamine synthetase domain",-0.171175895604646,3.30468045568026,-0.500259647732685,0.625684976838072,0.970345422111794,-5.80195901791465
"19","TC0100000215.mm.2","Rab23","19335","RAB23, member RAS oncogene family",0.353494682296935,4.91680687500646,1.24560091644151,0.236018864748192,0.870164014745734,-5.19475263941385
"20","TC0100000216.mm.2","Dst","13518","dystonin",1.10232681220645,6.39256368372693,2.73189951848757,0.0177970237147893,0.622160155871559,-3.04672219774801
"21","TC0100000222.mm.2","Imp4","27993","IMP4, U3 small nucleolar ribonucleoprotein",0.446600120654368,8.66241885738116,1.33975155366737,0.204451633097065,0.852512050049209,-5.08797710726877
"22","TC0100000224.mm.2","Ptpn18","19253","protein tyrosine phosphatase, non-receptor type 18",-0.736518562486618,8.45068727072453,-2.64603703287094,0.0208965126771319,0.631707247818629,-3.1874139103751
"23","TC0100000230.mm.2","Arhgef4","226970","Rho guanine nucleotide exchange factor (GEF) 4",0.0730540436325695,5.44477232962413,0.261526455172864,0.797996078458268,0.992726174310833,-5.89215072081103
"24","TC0100000237.mm.2","Hs6st1","50785","heparan sulfate 6-O-sulfotransferase 1",0.0400844055740768,7.31214962451092,0.115924560328624,0.909575542146019,0.997250460822912,-5.91968416748089
"25","TC0100000240.mm.2","Arid5a","214855","AT rich interactive domain 5A (MRF1-like)",-0.587787526526792,6.38775635023758,-1.45793866273312,0.169807675498441,0.844372890210983,-4.9460670076544
"26","TC0100000242.mm.2","Fer1l5","100534273","fer-1-like 5 (C. elegans)",0.124192165115483,4.43047834791827,0.389402625703632,0.703608092394662,0.984640715078362,-5.85069606169001
"27","TC0100000247.mm.2","Cnnm3","94218","cyclin M3",-0.330520643013366,5.44468037747043,-1.12350197337041,0.282584140778091,0.89224427490687,-5.32429250026622
"28","TC0100000253.mm.2","Cox5b","12859","cytochrome c oxidase subunit 5B",0.040229446006931,10.1174682743782,0.127801729523675,0.900362839318898,0.996028214207428,-5.91823063597151
"29","TC0100000260.mm.2","Unc50","67387","unc-50 homolog",-0.0409792811715324,8.43835924769555,-0.119560193069689,0.906753990100687,0.997250460822912,-5.91925424493458
"30","TC0100000267.mm.2","Lipt1","623661","lipoyltransferase 1",0.466502062543785,4.85918889634201,1.46813210644117,0.167065252181614,0.84348490211514,-4.9334383571814
"31","TC0100000271.mm.2","Eif5b","226982","eukaryotic translation initiation factor 5B",0.248306227397372,7.79895194322728,0.708150644300904,0.491998060448019,0.95092155458102,-5.67963943617377
"32","TC0100000280.mm.2","Pdcl3","68833","phosducin-like 3",0.0169471358172508,7.84945649022703,0.0529775994609547,0.95859685913262,0.998911055278819,-5.92502579087082
"33","TC0100000282.mm.2","Npas2","18143","neuronal PAS domain protein 2",-0.0297280663230097,5.16219612128155,-0.0736262693697214,0.942486548615975,0.998911055278819,-5.92371191897075
"34","TC0100000292.mm.2","Il1r2","16178","interleukin 1 receptor, type II",0.0245658791903134,4.48659667153888,0.0691103135276303,0.946007941869818,0.998911055278819,-5.92403585698954
"35","TC0100000295.mm.2","Il1r1","16177","interleukin 1 receptor, type I",1.07093667696204,5.79756548907256,3.36591404913141,0.00540500787252011,0.425068254780748,-1.99520900079003
"36","TC0100000297.mm.2","Il1rl2","107527","interleukin 1 receptor-like 2",2.69767942392951,5.3756721371059,6.8243830071393,1.58359911000817e-05,0.0229508756729041,2.94583559957327
"37","TC0100000298.mm.2","Il1rl1","17082","interleukin 1 receptor-like 1",0.334338934956314,4.43673835388935,0.880623122320429,0.39533173333724,0.92819932465688,-5.54910689130155
"38","TC0100000300.mm.2","Il18rap","16174","interleukin 18 receptor accessory protein",-0.312730986066589,4.75724365877137,-0.989032720050847,0.341624266649562,0.917184366379851,-5.45442204889127
"39","TC0100000304.mm.2","Tmem182","381339","transmembrane protein 182",-0.168846170967321,5.46118806501434,-0.599753383274225,0.559511185433367,0.968870865365504,-5.74835146440928
"40","TC0100000317.mm.2","Gpr45","93690","G protein-coupled receptor 45",-0.00464292968845914,5.37985079316293,-0.0123955950128489,0.990307944205344,0.999718487935495,-5.92635945414536
"41","TC0100000323.mm.2","Nck2","17974","non-catalytic region of tyrosine kinase adaptor protein 2",-1.33445776406277,7.18710615617945,-4.43269372489415,0.000762616701105776,0.18420824839805,-0.273660181720464
"42","TC0100000329.mm.2","Ecrg4","78896","ECRG4 augurin precursor",-0.0252944119151852,3.95897247211823,-0.0899669351374035,0.929755766915163,0.998489108003536,-5.92236869143413
"43","TC0100000333.mm.2","Bivm","246229","basic, immunoglobulin-like variable motif containing",0.274722871781775,6.75929251299043,0.880855723698293,0.395210622234105,0.92819932465688,-5.54891391175626
"44","TC0100000334.mm.2","Ercc5","22592","excision repair cross-complementing rodent repair deficiency, complementation group 5",0.203571498470095,7.15125534953354,0.625133028447888,0.543259169789506,0.963308044958562,-5.73321463186769
"45","TC0100000338.mm.2","Gulp1","70676","GULP, engulfment adaptor PTB domain containing 1",-0.533568019266104,4.43573708132147,-1.64916072776251,0.12429494086269,0.823266917066263,-4.69966102540648
"46","TC0100000343.mm.2","Col3a1","12825","collagen, type III, alpha 1",-0.228689846194808,3.87618475507014,-0.827262978164505,0.42378063084031,0.936001222899225,-5.59219206618031
